hot,her,children,gate,monument,was,pune,western,nightmare,who,visiting,year-old,our,outing,turned,here,out,tourist,meena,sheshadri,
people,lines,overloaded,poorly,grids,largest,third,economy,rising,demand,rapidly,one,nearly,million,north,experts,indoors,affected,blackout,several,
the,tuesday,state,maximum,above,remain,would,red,temperatures,meaning,box,warning,meteorological,wednesday,degrees,phaphamau,allahabad,village,shrunken,outskirts,
india,that,heat,wave,people,more,has,have,died,hyderabad,degrees,than,temperatures,major,heatwave,capital,roads,melt,times,andhra,
the,sweltering,days,large,have,heat,air,overtime,energy-guzzling,conditioners,work,new,delhi,power,cuts,fears,prompting,expected,mercury,construction,
