india,people,heat,has,have,wave,that,died,temperatures,delhi,degrees,heatwave,more,than,telangana,swept,major,hyderabad,roads,melt,
the,hottest,season,which,day,was,this,now,till,monday,less,scorching,sun,some,places,glare,zebra,crossings,though,melted,
her,children,gate,monument,was,pune,western,nightmare,who,visiting,city,year-old,our,outing,turned,here,out,hot,tourist,meena,
intense,andhra,pradesh,summer,afternoon,himself,cool,man,his,face,water,ist,applies,bar,agencies,correspondent,hot,may,delhi,
days,air,overtime,energy-guzzling,conditioners,work,power,cuts,fears,prompting,the,sweltering,heat,large,have,capital,delhi,india,andhra,pradesh,
