telangana,has,been,there,deaths,killed,about,many,parts,being,reported,extreme,over,particularly,droves,weather,capital,roads,country,torrid,
pradesh,the,temperature,sweltering,past,hovering,maharashtra,tulsi,died,relative,levels,were,conditions,national,capital,indoors,weekend,south,high,uttar,
the,people,pradesh,have,telangana,degrees,heat,andhra,has,temperatures,hit,swept,that,celsius,last,week,south,india,wave,days,
department,around,west,bengal,madhya,punjab,also,stifling,lucknow,problem,dry,sweltering,inching,fatality,red,worsened,conditions,chances,reuters,summer,
andhra,disaster,just,rani,special,commissioner,new,box,upwards,dehydration,heatstroke,meteorological,jharkhand,odisha,warnings,constant,winds,signalling,photo,issued,
