they,hudson,might,said,have,bob,not,were,baseball,getting,elsewhere,likes,decide,melvin,max,whom,will,happy,detroit,scherzer,
the,two,his,giants,scott,dugout,working,went,leg,million,weeks,later,then,michael,fielder,single,morse,fifth,career,before,
the,giants,was,san,innings,kazmir,francisco,out,seven,nine,hits,thursday,this,scott,first,three,season,at&t,four,oakland,
the,league,all-star,game,american,when,start,era,his,been,that,more,felix,tuesday,three,starts,all,support,much,deal,
n't,special,four-game,little,extra,set,taking,rivalry,though,even,newbie,considered,bunch,victory,harder,throwing,in-game,adversity,former,confront,
