nibali,stage,rodriguez,them,more,than,katusha,company,joaquim,concluding,surged,was,same,finished,did,honestly,famous,inspire,that,three,
sunday,yellow,tony,tuesday,bike,left,about,got,reeled,break,majority,enough,defend,frenchman,nearly,proved,tour,sec,down,home,
the,tony,gallopin,stage,jersey,lead,nibali,day,who,race,overall,time,n't,tour,relinquished,place,belles,des,planche,filles,
behind,minutes,adrift,mins,secs,climb,just,miles,there,reign,super-steep,eastern,having,francois,congratulatory,while,
his,yellow,day,astana,winner,win,panting,celebration,arms,national,will,shirt,donning,maintain,incredible,mention,effect,performance,hoping,pass,
