the,any,coach,before,signed,met,whether,detroit,czech,spoke,republic,believed,part,babcock,contract,back,could,team,would,bringing,
manager,general,armstrong,eight,million,former,teams,second-round,hopefully,and,fame,they,what,then,locker,coach,hitchcock,
who,discussions,leading,doug,offseason,entering,were,both,his,reported,dol,toronto,several,win,change,remains,open,future,hall,know,
armstrong,years,playoff,briefly,other,not,world,create,concern,issue,that,
that,was,age,insists,potential,candidates,will,recently,spoke,iihf,time,one-year,babcock,room,turmoil,pursuit,the,blues,good,ken,
