the,bjp,had,president,party,singh,home,shah,him,leaders,announcement,minister,new,will,amit,conference,reporters,became,successful,leadership,
more,one-man,one-post,principle,keeping,relinquish,joshi,sweets,tenure,meeting,heights,will,modi,his,party,other,parties,this,that,
parliamentary,since,board,been,recently,resignation,prime,responsibility,pre-budget,survey,all,post,controversial,bjp,minister,janata,work,wednesday,sometimes,singh,
was,where,who,modi,his,shah,not,that,its,central,convened,jaitley,these,one-and-a-half,years,top,close,policy,ministers,intervened,
never,year-old,would,month,ago,news,have,here,spokesman,singhvi,they,
