week,eight-shot,victory,martin,women,even,second,trevino,punishing,liles,ears,stewart,flight,holes,least,germanator,after,charlie,june,title,
win,this,any,par,rain-softened,scoring,year-old,shots,associated,riedel-associated,eight,out,completed,eight-stroke,martin,where,show,crowned,recent,habit,
sports,has,second,the,raymond,nicklaus,display,round,shows,with,playoff,shots,second-lowest,morning,produced,asking,national,around,exposure,fan,
the,open,pinehurst,u.s,was,kaymer,that,golf,this,his,n.c,one,sunday,when,course,same,won,just,only,other,
can,n-t,championship,winning,possible,how,win,lee,better,strong,moment,highlight,nbc,press,april,augusta,women,history,played,conceived,
