return,royal,n-t,portrush,nice,greens,while,making,too,here,almost,that,worst-kept,secret,head-shaking,rota,admiration,chief,peter,aforementioned,
the,kaymer,open,pinehurst,was,martin,sunday,his,this,golf,major,last,win,better,performance,week,shots,eight,that,second,
day,was,him,you,bradley,n-t,did,ago,father,her,mother,every,much,keegan,koepka,stenson,johnson,few,weeks,home,
the,his,par,was,compton,that,finish,birdie,bogey,hole,four,fowler,had,green,off,took,shots,got,one,eight,
the,his,players,one,only,open,championship,win,major,game,that,world,two,more,woods,first,who,years,now,with,
