stenson,day,bradley,koepka,johnson,bogey,living,operating,room,sport,bogeys,roller-coaster,holes,fifth,double,shared,final,extended,event,not,
six,pga,name,pinehurst,not,those,had,his,that,was,ahead,style,more,schmaltz,summed,fifth,save,mclean,raced,perseverance,
the,second,compton,rickie,fowler,kaymer,transplant,who,only,victory,par,all,finish,heart,two-time,tie,two,were,players,four,
the,his,was,open,golf,this,game,that,top,masters,compton,erik,would,kaymer,drama,leaderboard,weekend,u.s,shot,has,
never,life,again,gave,play,heart,any,came,americans,rest,consider,doctors,unrealistic,become,alternatives,together,student,knew,idea,completely,
