pebble,open,time,relatively,nick,surprise,lee,had,same,after,advertised,sandhills,course,field,that,however,was,began,
won,his,space,sir,bunch,streak,country,finest,torrey,bravest,best,absolute,just,masterclass,kind,includes,round,place,three,ranked,
nicklaus,that,elite,how,are,standard,other,jack,tony,james,barnes,ben,walter,champions,list,every,leading,became,u.s,ross,
the,mcilroy,players,his,was,beach,win,woods,only,tiger,kaymer,congressional,open,rory,would,same,year,which,won,this,
the,when,young,open,short,gun,slot,own,fault,applies,would,jacklin,select,game,place,carve,hoping,him,golfers,kept,
