absolute,would,his,congressional,sir,bunch,streak,young,club,finest,torrey,bravest,pines,just,slot,masterclass,enough,when,own,three,
the,has,eight,terms,adam,stenson,advantage,jones,fans,ranked,low-key,been,kickstart,off,six-time,left,back,respectively,rounds,mickelson,
open,won,phil,space,faldo-like,nick,went,tony,jacklin,barnes,ben,hogan,hagen,select,includes,champions,list,leading,seventh,bradley,
the,mcilroy,open,was,woods,his,tiger,only,pebble,beach,last,kaymer,won,championship,that,course,which,german,first,majors,
pinehurst,says,kaymer,june,youngest,her,winner,the,relatively,ago,kind,laura,player,derek,dame,craig,connelly,caddie,n-t,when,
