secret,return,royal,kevin,executive,evening,day,bradley,koepka,stenson,johnson,final,performance,fourth,sunday,can,worst-kept,world,head-shaking,portrush,
rough,how,portrush,deep,bunkers,plethora,top,staged,with,chipping,team,influence,underestimated,right,connelly,caddie,when,won,having,touting,
the,open,kaymer,pinehurst,his,martin,was,major,win,championship,n-t,eight,years,sunday,first,bar,shots,title,only,golf,
this,left,round,admirable,lead,him,which,open,liverpool,see,resort,then,total,holes,its,actively,course,fading,long,been,
that,the,will,davies,dame,women,give,sure,laura,her,when,tournament,courses,has,should,back,golfer,now,these,play,
