june,was,the,own,fellow,competitors,american,davies,complete,player,lawrenson,dame,plays,craig,connelly,caddie,n-t,uspga,himself,united,
admirable,erik,place,number,own,victory,earth-shattering,three,all,been,allowed,game,managed,difference,you,see,ahead,style,back,second-place,
skirt,should,davis,black,over,taking,weekend,elite,
gmt,says,total,incredulity,widely-held,sense,wryly,laura,when,comfortable,championship,stand,effort,mcilroy,majors,finish,runner-up,more,too,traditional,
the,open,pinehurst,kaymer,martin,his,major,was,golf,win,sunday,eight,bar,better,week,shots,tournament,that,victory,second,
