time,relatively,space,nick,bunch,when,raymond,pga,would,hal,james,ben,walter,list,every,won,u.s,young,been,els,
the,course,mcilroy,had,much,would,champions,seventh,this,year-old,tiger,everyone,north,carolina,domination,tough,performance,field,away,with,
own,fault,applies,standard,other,golf,anyone,barnes,hagen,leading,out,carve,hoping,back,doubt,birthday,that,reminiscent,rankings,since,
his,won,absolute,pebble,kaymer,short,faldo-like,sir,streak,country,went,club,surprise,gun,finest,torrey,bravest,best,pines,just,
the,was,open,win,players,woods,that,rory,only,beach,mcilroy,tiger,congressional,his,pebble,same,year,jack,nicklaus,became,
