royal,portrush,will,the,secret,return,lucy,n-t,dominant,once,again,rota,ancient,their,members,golf,championship,worst-kept,head-shaking,admiration,
the,open,u.s,kaymer,pinehurst,was,that,his,martin,win,golf,this,sunday,first,major,won,when,second,one,eight,
his,which,who,had,finish,game,him,back,hole,fowler,won,compton,golfers,there,erik,should,runner-up,tied,history,final,
all,few,masters,would,score,lead,back-to-back,two,their,langer,next,mates,month,chipping,team,right,connelly,uspga,highlight,nbc,
davies,dame,laura,her,says,same,women,tournament,give,will,more,putting,possible,association,its,play,you,back,years,sure,
