his,who,this,flight,won,monday,been,there,playoff,equation,any,four,consider,should,augusta,not,after,next,score,tie,
kaymer,those,shot,finish,final-round,point,strokes,came,themselves,quitting,collapsed,jackson,memorial,were,doctors,suggesting,life,unrealistic,case,time,
heart,round,three,return,become,hospital,mclean,knew,one,spring,give,n-t,masters,game,really,compton,fowler,par,
the,compton,that,was,open,rickie,only,top,had,second,has,under,more,finish,each,kaymer,final,would,his,u.s,
transplant,end,would,putt,mini-tours,america,miss,traveling,close,red,winning,open,doing,rory,mcilroy,far,heart,eight,rickie,who,
