1.txt,28.8,28.6,28.4,28.2,28,27.8,27.6,27.4,27.2,374.4,371.8,369.2,366.6,364,361.4,358.8,356.2,353.6,460.8,457.6,454.4,451.2,448,444.8,441.6,438.4,435.2
3.txt,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,241.6,243.2,244.8,246.4,248,249.6,251.2,252.8,254.4,256.7,258.4,260.1,261.8,263.5,265.2,266.9,268.6,270.3
4.txt,30.4,29.8,29.2,28.6,28,27.4,26.8,26.2,25.6,486.4,476.8,467.2,457.6,448,438.4,428.8,419.2,409.6,699.2,685.4,671.6,657.8,644,630.2,616.4,602.6,588.8
5.txt,15.7,15.4,15.1,14.8,14.5,14.2,13.9,13.6,13.3,31.4,30.8,30.2,29.6,29,28.4,27.8,27.2,26.6,78.5,77,75.5,74,72.5,71,69.5,68,66.5
7.txt,11.9,11.8,11.7,11.6,11.5,11.4,11.3,11.2,11.1,130.9,129.8,128.7,127.6,126.5,125.4,124.3,123.2,122.1,142.8,141.6,140.4,139.2,138,136.8,135.6,134.4,133.2
8.txt,13,13,13,13,13,13,13,13,13,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,241.6,243.2,244.8,246.4,248,249.6,251.2,252.8,254.4,,,,,,,,,,,,,,,,,,
8.txt,104,104,104,104,104,104,104,104,104,,,,,,,,,,,,,,,,,,
7.txt,130.9,129.8,128.7,127.6,126.5,125.4,124.3,123.2,122.1,,,,,,,,,,,,,,,,,,
4.txt,486.4,476.8,467.2,457.6,448,438.4,428.8,419.2,409.6,,,,,,,,,,,,,,,,,,
5.txt,31.4,30.8,30.2,29.6,29,28.4,27.8,27.2,26.6,,,,,,,,,,,,,,,,,,
1.txt,374.4,371.8,369.2,366.6,364,361.4,358.8,356.2,353.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,256.7,258.4,260.1,261.8,263.5,265.2,266.9,268.6,270.3,,,,,,,,,,,,,,,,,,
8.txt,104,104,104,104,104,104,104,104,104,,,,,,,,,,,,,,,,,,
7.txt,142.8,141.6,140.4,139.2,138,136.8,135.6,134.4,133.2,,,,,,,,,,,,,,,,,,
4.txt,699.2,685.4,671.6,657.8,644,630.2,616.4,602.6,588.8,,,,,,,,,,,,,,,,,,
5.txt,78.5,77,75.5,74,72.5,71,69.5,68,66.5,,,,,,,,,,,,,,,,,,
1.txt,460.8,457.6,454.4,451.2,448,444.8,441.6,438.4,435.2,,,,,,,,,,,,,,,,,,
