would,was,lakers,the,year,deal,heading,howard,bryant,before,new,more,his,play,four-year,houston,last,mega-deal,fifth,opting-out,
pick,have,steve,waiting,their,offer,lakers,draft,next,been,season,owed,exploring,say,seriously,package,any,them,cap,told,
the,anthony,million,dol,lakers,contract,are,bulls,knicks,carmelo,los,angeles,james,kobe,players,teams,four,years,york,more,
free,marquee,bringing,atlanta,hawks,cleveland,take,plans,making,one,come,might,julius,rookies,sacre,unsigned,six,kobe,third,trail,
his,free,week,main,not,team,national,spanish,teammate,calderon,friends,pursuit,once,offered,minimum,discuss,willing,this,time,blazers,
