the,percentage,ops,batting,fourth,ranks,dodgers,been,that,happen,
scratched,average,mlb,was,trade,pending,callapso,series,opener,angeles,gonzalez,starting,tuesday,base,
first,slugging,fifth,doubles,other,thoughts,getting,seventh,third,
tied,also,while,adrian,had,manager,did,than,monday,angeles,los,gonzalez,third,who,
fredi,night,because,n_t,lineup,gonzalez,angels,batted,played,
