just,last,emmy,award,peter,dinklage,now,dark,magic,joffrey,side,laced,piece,time,once,pigeon,pie,pity,him,carked,
her,the,etc,strangling,eventually,before,sword,quick,jab,suffering,his,end,survival,best,westeros,fleeing,hound,pleas,chance,lay,
the,tyrion,his,was,shae,jaime,being,dwarf,testimony,cell,freed,reckoning,lannisters,crime,confesses,anger,seething,treacherous,edge,over,
the,father,who,weird,their,finally,his,tree,bearded,fireballs,terms,some,figure,uncertain,shot,coming,meets,castle,black,charge,
his,father,the,allow,night,watch,join,grant,mercy,former,lover,slaying,not,despises,your,eyes,nearly,degenerate,unfolding,did,
