the,powerful,most,world,women,list,forbes,year,merkel,clinton,has,woman,angela,chancellor,fifth,hillary,german,swift,may,magazine,
ranked,the,year-old,now,hopeful,every,influential,personality,state,secretary,senator,launch,rankings,past,them,nine,times,succession,future,stiff,
ranking,four,there,region,her,dol,media,billion,net,worth,who,billionaires,oprah,three,middle,latin,america,each,asia-pacific,east,
included,undisputed,germanwings,anti-terror,raids,stability,russian,global,migrants,massive,issues,taking,recognised,running,remains,ceo,positions,s&p,companies,cent,
years,old,politician,ceo,lady,youtube,susan,wojcicki,facebook,coo,sheryl,sandberg,dilma,rousseff,christine,lagarde,general,motors,mary,barra,
