woman,close,again,most,year,clinton,right,media,morning,scmp,south,bar,guardian,follow,may,updated,that,motors,germanwings,crash,
the,past,them,nine,years,times,has,made,one,list,succession,future,stiff,slot,challenge,she,while,claims,ranking,also,
the,most,powerful,chancellor,merkel,world,angela,forbes,clinton,list,woman,women,fifth,hillary,has,tuesday,magazine,her,year,number,
endangering,chance,who,only,there,one,tenure,current,state,former,secretary,referring,u.s,her,hillary,
old,years,politician,ceo,philanthropist,first,lady,youtube,susan,wojcicki,facebook,coo,sheryl,sandberg,rousseff,christine,lagarde,general,mary,barra,
