
president,brazil,dilma,monetary,first,seventh,christine,chief,fund,brazilian,rousseff,sixth,place,international,director,angela,remains,lagarde,came,
the,woman,most,powerful,world,has,merkel,endangering,chance,who,one,hillary,only,clinton,there,magazine,u.s,state,her,wojcicki,
the,president,fernandez,cristina,geun-hye,park,kirchner,state,south,other,rousseff,lady,queen,elizabeth,korea,monarch,eight,also,top,michelle,
years,old,ceo,politician,youtube,susan,facebook,coo,sheryl,sandberg,general,motors,mary,barra,philanthropist,obama,michelle,lagarde,christine,are,
