president,fernandez,cristina,geun-hye,park,kirchner,dilma,south,rousseff,the,queen,elizabeth,korea,monarch,also,michelle,chile,bachelet,argentina,brazil,
secretary,year,the,senator,every,has,one-time,first,last,was,former,lady,its,launch,rankings,forbes,influential,personality,respectively,since,
the,dol,net,total,worth,than,more,eight,heads,list,features,billion,excess,billionaires,statement,forbes,there,
the,woman,hillary,clinton,presidential,most,powerful,candidate,state,world,endangering,chance,who,has,one,only,there,secretary,former,crown,
heads,role,power,billionaire,activists,celebrity,models,ceos,visionaries,been,comments,german,chancellor,extraordinary,entrepreneurs,views,who,has,state,the,
