endangering,chance,has,only,there,state,powerful,its,launch,follow,here,personality,top,tenure,michelle,cristina,figure,american,latin,chile,
secretary,presidential,state,the,candidate,last,former,year,influential,every,white,second,house,run,month,who,announced,one-time,first,was,
the,now,leading,mathematical,credible,person,time,title,could,away,usa,president,becoming,ambition,should,realised,comfortably,sit,place,top,
years,old,politician,ceo,philanthropist,youtube,susan,wojcicki,facebook,coo,sheryl,sandberg,rousseff,christine,lagarde,general,motors,mary,barra,economist,
the,clinton,most,woman,powerful,her,world,angela,merkel,hillary,chancellor,list,women,one,number,magazine,german,forbes,may,again,
