most,powerful,women,one,forbes,world,debut,singer,beyoncé,queen,identified,album,popular,came,stars,power,inclusion,dol,year,images,
nineteen,placed,pop,debut,this,women,swift,
the,list,swift,taylor,youngest,another,years,was,lynch,policy,union,viner,year,singer_songwriter,also,not,slowly,ever,included,old,
last,say,and,dare,made,over,old,music,undisputed,reasons,first,venture,success,her,songwriter,list,woman,
federica,chief,mogherini,katharine,editor-in-chief,guardian,foreign,incoming,european,star,pop,record,who,placed,newcomers,second,entry,loretta,policy,attorney-general,
