open,the,england,british,woods,rory,mcilroy,hoylake,tiger,royal,liverpool,saturday,tee,championship,his,major,all,eyes,press,any,
the,his,can,just,draw,where,out,hole,down,march,that,performance,most,had,last,stunning,comeback,least,event,congressional,
the,his,years,time,eight,two,been,that,had,was,outings,then,separates,stark,what,very,assessment,life,even,are,
the,his,years,career,not,has,last,coming,majors,woods,major,finest,triumphs,father,death,few,weeks,brought,did,putt,
the,golf,royal,liverpool,have,this,open,his,wind,see,are,more,you,great,american,three,second,ever,green,championship,
