major,other,road,steinbrenner,spotlight,go-ahead,role,succeed,throwing,was,teammates,also,double,big-game,often,facing,perhaps,dol,seven,season,
the,yankees,jeter,that,his,was,shortstop,captain,two,york,new,all-star,win,will,year-old,way,this,n't,derek,former,
any,never,lot,paying,top-flight,little,unexpected,bumps,couple,big,life,lives,break,deliver,giving,thought,snapping,famous,bob,sheppard,
team,teammate,final,pitch,legions,good,there,and,knows,decades,world,time,series,reaches,post-season,missing,danger,boost,trout,while,
his,last,honoured,died-in-the-wool,haters,episode,lot,baseball,homage,day,place,took,viewers,whichever,went,monotone,batting,walked,was,lasted,
