they,the,out,strike,come,rather,than,earlier,trust,might,curveball,kelly,going,early,
that,his,the,said,pitch,kelly,control,pitcher,left,left-handed,pitchers,side,exclusively,baseman,will,ultimately,switch-hitting,vary,although,seems,
the,more,little,guys,those,bit,can,would,have,was,game,third,sandoval,consistency,production,three,elite,gain,every,ability,
john,manager,farrell,offensive,not,has,the,wrong,what,went,review,innings,office,seven,runs,getting,rocked,one,twins,going,
the,lineup,spot,ortiz,photo,sox,lowest,batter,order,fifth,may,doing,settling,buchholz,red,loss,eighth,minneapolis,last,night,
