city,new,union,u.s,senate,community,local,nearly,dozen,statements,then,six,has,jersey,education,assembly,representatives,relations,board,mayor,
menendez,paid,was,puerto,rico,dominican,for,were,they,when,chairman,campaign,the,republic,atlanta,him,how,senatorial,fly,dol,
the,menendez,u.s,relations,foreign,committee,senate,court,his,top,april,was,democrat,political,donor,eye,doctor,improperly,benefit,newark,
leaders,national,least,releases,
the,democratic,jersey,fund,melgen,state,dol,new,victory,his,menendez,party,legal,her,husband,another,each,daughter,contributed,wife,
