his,not,melgen,dol,gifts,guilty,the,thursday,campaign,doctor,charges,florida,salomon,menendez,bribery,counts,million,friend,that,more,
the,melgen,dominican,republic,dol,private,her,beach,palm,jet,west,menendez,his,girlfriend,flew,visa,teterboro,paid,help,office,
the,melgen,that,his,was,prosecutors,they,indictment,menendez,were,exchange,personal,business,senator,interests,staffer,friendship,medicare,case,dispute,
the,menendez,who,senator,n-t,are,clause,their,fulop,also,speech,difference,know,wednesday,news,indictment,one,that,were,corruption,
the,menendez,sen,justice,department,new,jersey,federal,former,court,corruption,charges,which,april,u.s,was,thursday,bob,cases,committee,
