metropolitan,washington,mendendez,
million,day,firearms,licenses,two,his,home,gun,also,the,weeks,collection,beach,until,apartment,temporarily,will,
that,tour,very,good,were,sightsee,christmas,they,friends,said,women,email,wanted,exchange,staffer,area,pick,sent,menendez,aug,
person,dinner,greens,fees,for,spent,florida,golf,banyan,where,paid,club,unnamed,another,was,dol,plane,third,teterboro,private,
the,palm,beach,melgen,menendez,dominican,republic,guest,jet,flew,stop,private,his,vacation,teterboro,villa,dol,third,visit,unidentified,
