now,get,legally,can,you,illinois,marriage,same-sex,pride,even,more,that,married,sense,knowing,definitely,county,first,became,february,
his,many,sexual,religious,grounds,service,take,was,preference,publicly,never,businesses,refuse,social,media,quickly,addressed,people,discrimination,could,
the,gay,cook,his,that,much,sexuality,head,has,never,not,apple,whether,about,stewart,other,awkwardly,hosts,deafening,tech,
the,apple,who,employees,tim,pride,cook,participated,family,members,estimated,corporate,largest,executive,greeted,presences,one,parade,their,attended,
did,the,sometimes,secretive,festival,unusual,its,support,has,company,step,spoken,those,well-wishes,send,personally,facebook,google,congrats,attendance,
