equality,this,employees,the,weekend,celebration,friends,our,michaela,stronger,proud,spokeswoman,wilkinson,make,support,their,families,company,history,was,
the,gay,valley,pride,apple,transgender,bisexual,lgbt,lesbian,community,supporting,long,silicon,companies,san,francisco,facebook,fairly,open,festivities,
the,tim,cook,who,pride,employees,ceo,participated,family,members,chief,corporate,his,estimated,executive,largest,greeted,presences,one,their,
the,that,cook,never,his,many,has,gay,stewart,hosts,look,responds,disapproval,speculation,shaking,sexual,own,religious,grounds,service,
the,festival,did,employees,pride,google,sometimes,secretive,unusual,its,support,out,has,not,march,company,unison,marched,specially,designed,
