their,significant,local,state,mayor,ahead,children,police,others,hands,city,assorted,politicians,lee,nancy,leader,minority,house,skipped,officers,
the,some,parade,event,san,mainstream,acceptance,its,gains,edge,has,houston,seattle,minneapolis,chicago,biggest,new,york,cities,nation,
the,combined,annual,roar,festivities,off,traditional,bikes,group,lesbian,loudly,kicked,head,spot,dykes,motorcyclists,hundreds,parade,their,noah,
the,apple,pride,their,employees,sunday,gay,who,tim,cook,many,san,attended,family,members,logo,rainbow-hued,rendering,outed,participated,
francisco,the,pride,san,festival,reuters,june,california,technology,valley,silicon,prominent,other,companies,diversity,corporate,employees,morale,facebook,culture,
