redistricting,quinn,matters,been,tony,has,years,only,county,senator,currently,elected,latinos,minority,how,draw,republicans,than,who,consulted,
the,university,professor,richard,law,would,redistricting,irvine,evenwel,decision,over,likely,hasen,will,logic,carry,noncitizens,largest,proportions,york,
the,could,political,rural,communities,way,that,latino,fast-growing,move,clout,shift,change,may,mathematics,power,states,where,congressional,state,
the,court,districts,supreme,number,latinos,drawn,voters,eligible,florida,texas,voting,say,appeal,favor,eventually,justices,large,states,should,
common,cause,kathay,asians,more,then-gov,event,california,feng,americans,held,advises,effect,latino,who,much,functional,they,responsive,place,
