san,diego,the,union-tribune,operating,chief,president,officer,times,union,russ,newspaper,angeles,march,story,will,california,tribune,u-t,where,
synergies,that,were,the,they,today,together,two,there,going,those,people,coming,companies,time,lot,unfortunately,realizing,when,announced,
union-tribune,the,diego,san,them,most,were,drivers,let,layoffs,changes,television,operation,u-t,newsroom,eight,jeff,nine,currently,press,
the,its,san,diego,los,angeles,times,was,union-tribune,owner,publishing,employees,that,million,dol,newspaper,off,name,last,manchester,
the,operations,other,distribution,buy,newspapers,publishing,printing,tribune,increase,revenue,consolidating,adjacent,markets,publications,industry,broader,strategy,some,acquisition,
