carson,gov,sandoval,city,free,bills,conduct,instruction,appointed,initiative,middle,school,law,the,criminal,charges,pursue,their,report,cases,
tuesday,may,taxes,education,bar,brian,press,who,erquiaga,role,state,extended,new,package,fund,help,million,dol,generate,sandoval,
the,state,budget,lawmakers,last,permanent,them,relying,years,make,brian,elko,top,post,dale,anti-bullying,chief,executive,his,week,
brian,bill,final,passage,tirelessly,worked,community,leaders,hundreds,members,hour,daily,close,ago,clean,rules,keep,who,ceremony,proudest,
the,through,these,see,stakeholders,legislature,bills,was,public,governor,key,part,
