[0.txt],view,,polarity,,detail,
1.txt,3.076923077,5,0.362581865,3,-0.479816273,4
2.txt,9.307692308,2,0.30943903,4,-0.358176741,1
3.txt,8.307692308,3,0.22241124,7,-0.526061477,6
5.txt,5.076923077,4,0.455850834,1,-0.385060388,2
6.txt,3.076923077,5,0.282159259,5,-0.479816273,4
7.txt,0.615384615,8,0.174844983,8,-0.404421944,3
8.txt,20.07692308,1,0.364659905,2,-0.526061477,6
9.txt,2.769230769,7,0.281213474,6,-0.526061477,6
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,2.692307692,,0.788024866,,-0.492062871,
2.txt,5.923076923,,1.07407059,,-0.370423339,
3.txt,5.538461538,,0.949930608,,-0.538308075,
5.txt,0,,0,,0,
6.txt,2.769230769,,0.65632364,,-0.492062871,
7.txt,0,,0.66291919,,-0.416668543,
8.txt,16.61538462,,0.956846151,,-0.538308075,
9.txt,1.846153846,,0.666002885,,-0.538308075,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,2.307692308,,0.843177933,,-0.659947608,
2.txt,0,,0,,0,
3.txt,3.461538462,,1.221019094,,-0.706192812,
5.txt,0,,0,,0,
6.txt,2.769230769,,0.587556038,,-0.659947608,
7.txt,0,,0.561067288,,-0.584553279,
8.txt,14.53846154,,1.232219451,,-0.706192812,
9.txt,1.384615385,,0.702845421,,-0.706192812,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,2.307692308,,0.843177933,,-0.673903612,
2.txt,0,,0,,0,
3.txt,3.461538462,,1.221019094,,-0.720148816,
5.txt,0,,0,,0,
6.txt,2.769230769,,0.587556038,,-0.673903612,
7.txt,0,,0,,0,
8.txt,14.53846154,,1.232219451,,-0.720148816,
9.txt,1.384615385,,0.702845421,,-0.720148816,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,2.307692308,,0.868977147,,-0.673903612,
2.txt,0,,0,,0,
3.txt,3.461538462,,1.079090763,,-0.720148816,
5.txt,0,,0,,0,
6.txt,2.769230769,,0.610596526,,-0.673903612,
7.txt,0,,0,,0,
8.txt,0,,0,,0,
9.txt,1.384615385,,0.683184527,,-0.720148816,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,2.307692308,,0.821761642,,-0.68396042,
2.txt,0,,0,,0,
3.txt,3.461538462,,1.021304372,,-0.724019838,
5.txt,0,,0,,0,
6.txt,0,,0,,0,
7.txt,0,,0,,0,
8.txt,0,,0,,0,
9.txt,1.384615385,,0.639764512,,-0.724019838,
