[0.txt],view,,polarity,,detail
1.txt,10.833333333333334,,0.26305030203610885,,1.3373003654837672
3.txt,0.8333333333333334,,0.323916951744126,,1.5365192859059378
4.txt,0.3333333333333333,,0.06241915284960688,,-0.19350733375465567
5.txt,9.0,,0.265722760941574,,2.1469599160640227
8.txt,0.0,,0.0,,-0.3211324235104239
9.txt,2.833333333333333,,0.18937334365854572,,0.9786014344884318
10.txt,2.333333333333333,,0.18420197540540506,,-0.2473800625499456
11.txt,11.666666666666668,,0.3002590962042161,,2.969558536345937
13.txt,15.0,,0.40676587086680455,,2.0361643605129203
14.txt,2.0,,0.667475232597947,,-0.6049579991861389

[0.txt],view,,polarity,,detail
1.txt,0.0,,1.5854490731797275,,-1.4081468996276338
3.txt,0.0,,0.9156748237189895,,-1.1046030737931216
4.txt,0.16666666666666666,,0.16933025273888883,,-2.834629693453715
5.txt,9.0,,0.312975508064787,,-0.4941624436350364
8.txt,0.0,,0.0,,-2.962254783209483
9.txt,2.6666666666666665,,0.331453926786214,,-2.3326605451608073
10.txt,2.333333333333333,,0.19403865126859002,,-2.888502422249005
11.txt,0.8333333333333334,,1.7183038664601453,,0.2241112712345361
13.txt,0.0,,0.0,,0.0
14.txt,2.0,,0.5196516622662575,,-3.2460803588851985

[0.txt],view,,polarity,,detail
1.txt,0.0,,1.3979311291724534,,-4.160064814877797
3.txt,0.0,,0.8789385010125786,,-2.842031402408803
4.txt,0.16666666666666666,,0.1500392658349066,,-5.586547608703878
5.txt,0.0,,0.0,,0.0
8.txt,0.0,,0.07341072311723064,,-5.714172698459647
9.txt,2.1666666666666665,,0.6693520218143306,,-5.206625831412314
10.txt,2.0,,0.2578365635539639,,-5.640420337499167
11.txt,0.8333333333333334,,1.4858090176561314,,-2.590535155098407
13.txt,0.0,,0.0,,0.0
14.txt,2.0,,0.40484239126097354,,-5.997998274135362

[0.txt],view,,polarity,,detail
1.txt,0.0,,1.353512751727987,,-6.078359380452536
3.txt,0.0,,1.1198040776057103,,-4.20265942291167
4.txt,0.16666666666666666,,0.18327091410128282,,-6.947175629206745
5.txt,0.0,,0.0,,0.0
8.txt,0.0,,0.0891163856919406,,-7.265154319801062
9.txt,2.1666666666666665,,0.731605282718685,,-6.605937726987716
10.txt,2.0,,0.3025564900117205,,-7.001048358002034
11.txt,0.0,,0.0,,0.0
13.txt,0.0,,0.0,,0.0
14.txt,2.0,,0.4468894844876936,,-7.358626294638228

[0.txt],view,,polarity,,detail
1.txt,0.0,,0.0,,0.0
3.txt,0.0,,1.4300886375828226,,-4.252138170564169
4.txt,0.16666666666666666,,0.22671075249807857,,-6.996654376859244
5.txt,0.0,,0.0,,0.0
8.txt,0.0,,0.1096068755017499,,-7.314633067453561
9.txt,2.1666666666666665,,0.8191856020670634,,-6.655416474640216
10.txt,2.0,,0.36179263328007827,,-7.050527105654534
11.txt,0.0,,0.0,,0.0
13.txt,0.0,,0.0,,0.0
14.txt,2.0,,0.5061256277560513,,-7.408105042290726

[0.txt],view,,polarity,,detail
1.txt,0.0,,0.0,,0.0
3.txt,0.0,,0.0,,0.0
4.txt,0.16666666666666666,,0.2488016203217622,,-7.6479300071455185
5.txt,0.0,,0.0,,0.0
8.txt,0.0,,0.12002709617329878,,-7.965908697739836
9.txt,2.1666666666666665,,0.8637236420341674,,-7.30669210492649
10.txt,2.0,,0.3919165439487378,,-7.7018027359408086
11.txt,0.0,,0.0,,0.0
13.txt,0.0,,0.0,,0.0
14.txt,2.0,,0.5362495384247109,,-8.059380672577003

