[0.txt],view,,polarity,,detail,
1.txt,51.42857143,1,4.067091552,1,-1.8376907,7
2.txt,10.28571429,5,0.979875201,2,-1.588426078,6
3.txt,12.14285714,4,0.653275249,5,0.143654187,1
4.txt,15,3,0.707298571,4,-0.877567356,2
5.txt,30.64285714,2,0.810270933,3,-1.182394527,5
6.txt,9.428571429,7,0.494633216,6,-2.121516276,8
7.txt,9.5,6,0.482727559,8,-1.122534827,4
9.txt,6.5,8,0.493824827,7,-0.888141371,3
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
2.txt,7.428571429,,1.375836781,,-1.872251654,
3.txt,11.42857143,,0.747598519,,-0.140171389,
4.txt,12.85714286,,0.968381829,,-1.161392932,
5.txt,28.28571429,,1.010327171,,-1.466220103,
6.txt,7.071428571,,0.736559225,,-2.405341851,
7.txt,8,,0.713828472,,-1.406360403,
9.txt,6,,0.577014797,,-1.171966947,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
2.txt,5.142857143,,1.943014305,,-2.585357224,
3.txt,5,,1.705934411,,-0.697076473,
4.txt,8.571428571,,1.715709237,,-1.874498502,
5.txt,0,,0,,0,
6.txt,3.142857143,,1.307818985,,-3.118447422,
7.txt,6,,1.221373981,,-2.037017848,
9.txt,4.5,,0.945804067,,-1.709152417,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
2.txt,5.142857143,,1.928611243,,-3.876667972,
3.txt,0,,0,,0,
4.txt,7.857142857,,1.787477912,,-3.219616058,
5.txt,0,,0,,0,
6.txt,3.142857143,,1.301832614,,-4.281907141,
7.txt,5.5,,1.302760756,,-3.620784015,
9.txt,4.5,,0.941958101,,-3.048532236,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
2.txt,0,,0,,0,
3.txt,0,,0,,0,
4.txt,7.857142857,,1.98760595,,-3.51228767,
5.txt,0,,0,,0,
6.txt,3.142857143,,1.392845478,,-4.574578753,
7.txt,5,,1.540878433,,-3.913455627,
9.txt,4,,1.122531703,,-3.165283749,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
2.txt,0,,0,,0,
3.txt,0,,0,,0,
4.txt,7.142857143,,2.099535759,,-4.074918273,
5.txt,0,,0,,0,
6.txt,3.142857143,,1.399543236,,-5.137209356,
7.txt,4,,1.738668353,,-4.560525821,
9.txt,0,,0,,0,
