[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,18.47368421,2,1.187129483,3,-0.060682024,5,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A
3.txt,13.47368421,3,1.595732299,2,0.363613038,1,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A
4.txt,21.05263158,1,2.480701373,1,0.006261041,4,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A
5.txt,1.368421053,6,0.631905585,6,-0.182321557,6,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A
7.txt,6.368421053,4,1.164053853,4,0.092565663,2,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A
8.txt,5.473684211,5,0.859764232,5,0.040821995,3,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,15.05263158,,1.935805179,,-0.65472973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,8.421052632,,2.455697423,,-0.230434668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.txt,1.368421053,,0.653110881,,-0.776369263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.txt,5.210526316,,1.5482233,,-0.587786665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,5.052631579,,1.063316293,,-0.553225711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,14.36842105,,2.231493632,,-1.306024841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.txt,1.263157895,,0.822249669,,-1.427664373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.txt,5.210526316,,1.649738175,,-1.356864811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,4.631578947,,1.25654706,,-1.204520822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,14.36842105,,2.522295814,,-2.222315573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.txt,1.263157895,,0.902419793,,-2.056273033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.txt,5.210526316,,1.866619418,,-1.985473471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.txt,0.947368421,,1.211867762,,-2.185292672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.txt,4.052631579,,1.903215481,,-2.11449311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.txt,0.947368421,,1.218844622,,-2.359695937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
