[2.txt],view,,polarity,,detail,
3.txt,3.5,12,0.532717141,3,-0.437073263,15
4.txt,3.666666667,10,0.262375756,14,0.295509826,6
8.txt,6.5,3,0.713622623,2,0.413916371,5
9.txt,3.25,13,0.242319863,15,-0.390828059,14
10.txt,4.166666667,9,0.341599472,9,0.076297321,8
13.txt,6.333333333,5,0.796458122,1,0.014858997,9
14.txt,15.75,1,0.449877019,4,0.748198386,1
15.txt,2.5,14,0.28293801,11,-0.376872054,12
16.txt,5,7,0.219573507,16,0.202463348,7
18.txt,6,6,0.443984138,5,0.417436223,4
19.txt,4.583333333,8,0.395084392,8,-0.165500994,11
20.txt,3.666666667,10,0.274613984,12,0.434303446,3
21.txt,8.166666667,2,0.40870406,6,0.544978739,2
26.txt,6.5,3,0.397827734,7,-0.019294118,10
27.txt,2.333333333,15,0.287196284,10,-0.558712795,16
31.txt,1.75,16,0.262960446,13,-0.382376796,13
,,,,,,
[2.txt],view,,polarity,,detail,
3.txt,2.5,,0.638389811,,-1.60164705,
4.txt,2.333333333,,0.678273303,,-0.869063961,
8.txt,5,,0.945262,,-0.750657416,
9.txt,3.25,,0.208898653,,-1.523793691,
10.txt,4.166666667,,0.252562,,-1.088276466,
13.txt,3.666666667,,1.67831854,,-1.14971479,
14.txt,0,,0,,0,
15.txt,2,,0.33627942,,-1.541445841,
16.txt,4,,0.492339917,,-0.962110439,
18.txt,4,,0.848720348,,-0.747137564,
19.txt,4.166666667,,0.424232239,,-1.330074781,
20.txt,3,,0.459339064,,-0.730270341,
21.txt,4.083333333,,0.963408285,,-0.674291515,
26.txt,5,,0.698067819,,-1.183867905,
27.txt,2.333333333,,0.223728464,,-1.723286582,
31.txt,1.5,,0.326664621,,-1.546950583,
,,,,,,
[2.txt],view,,polarity,,detail,
3.txt,2.5,,0.576564914,,-2.250613171,
4.txt,2.333333333,,0.623292373,,-1.442635754,
8.txt,5,,0.856511986,,-1.324229209,
9.txt,2.75,,0.394741522,,-2.097365484,
10.txt,3.75,,0.350853573,,-1.661848259,
13.txt,0,,0,,0,
14.txt,0,,0,,0,
15.txt,2,,0.307860922,,-2.115017634,
16.txt,3.666666667,,0.564119983,,-1.535682232,
18.txt,3.5,,0.900673576,,-1.320709357,
19.txt,4.166666667,,0.382057266,,-1.903646574,
20.txt,3,,0.422594818,,-1.243640925,
21.txt,2.916666667,,1.122865216,,-1.247863308,
26.txt,4,,0.866497284,,-1.757439697,
27.txt,1.666666667,,0.424787783,,-2.296858375,
31.txt,1.5,,0.30109875,,-2.120522376,
,,,,,,
[2.txt],view,,polarity,,detail,
3.txt,2.5,,0.664957787,,-3.031043221,
4.txt,2.333333333,,0.731439769,,-2.223065803,
8.txt,4,,1.276028188,,-2.104659258,
9.txt,2.75,,0.469161129,,-2.877795534,
10.txt,3.333333333,,0.542001839,,-2.442278308,
13.txt,0,,0,,0,
14.txt,0,,0,,0,
15.txt,1.5,,0.494852534,,-2.895447684,
16.txt,3.666666667,,0.670226668,,-2.316112282,
18.txt,3,,1.194900387,,-2.038410896,
19.txt,3.75,,0.580581285,,-2.684076624,
20.txt,3,,0.491931092,,-2.024070975,
21.txt,0,,0,,0,
26.txt,3.5,,1.163398719,,-2.537869747,
27.txt,1.666666667,,0.498490946,,-3.077288425,
31.txt,1.25,,0.480322481,,-2.900952425,
,,,,,,
[2.txt],view,,polarity,,detail,
3.txt,2.5,,0.65341752,,-3.874319891,
4.txt,2.333333333,,0.722289821,,-3.106401892,
8.txt,4,,1.240438993,,-2.921052281,
9.txt,2.75,,0.465568904,,-3.694188557,
10.txt,3.333333333,,0.529281627,,-3.325614397,
13.txt,0,,0,,0,
14.txt,0,,0,,0,
15.txt,1.5,,0.487437361,,-3.688752394,
16.txt,3.333333333,,0.790678753,,-3.109416993,
18.txt,3,,1.182498968,,-2.854803919,
19.txt,3.75,,0.563104703,,-3.500469647,
20.txt,0,,0,,0,
21.txt,0,,0,,0,
26.txt,3.5,,1.141083986,,-3.35426277,
27.txt,1.666666667,,0.49081984,,-3.893681448,
31.txt,1.25,,0.47498732,,-3.717345448,
,,,,,,
[2.txt],view,,polarity,,detail,
3.txt,2,,0.737322069,,-4.357153879,
4.txt,2.333333333,,0.677261022,,-3.58923588,
8.txt,4,,1.161826399,,-3.403886269,
9.txt,2.75,,0.438181689,,-4.177022545,
10.txt,3.333333333,,0.49601545,,-3.871176896,
13.txt,0,,0,,0,
14.txt,0,,0,,0,
15.txt,1.5,,0.455316248,,-4.171586382,
16.txt,3.333333333,,0.743942155,,-3.59225098,
18.txt,0,,0,,0,
19.txt,3.75,,0.527269685,,-3.983303634,
20.txt,0,,0,,0,
21.txt,0,,0,,0,
26.txt,3.5,,1.068171455,,-3.959144129,
27.txt,1.666666667,,0.459276981,,-4.376515436,
31.txt,1,,0.557910673,,-4.200179436,
