[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.txt,15.4,,0.840404247,,-5.737783191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,1.333333333,,1.036833573,,-6.455757261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,8.066666667,,1.758763201,,-6.0050824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,12.26666667,,1.806325883,,-6.023010263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,2.4,,0.696257367,,-6.866451627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.txt,6,,1.684585495,,-5.841235542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.txt,6,,1.412764241,,-5.531586669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.txt,3.733333333,,1.319278955,,-6.551667622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.txt,14.93333333,,1.174966422,,-6.360588177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,1.333333333,,1.352277251,,-7.616406316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,5.133333333,,3.1623648,,-7.1341233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,1.2,,1.55294748,,-8.027100682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.txt,3.6,,3.181611659,,-7.055900019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.txt,3,,3.075353566,,-6.65687823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.txt,1.6,,2.797086278,,-7.680708522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.txt,14,,1.854875904,,-7.489629077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.txt],view,,polarity,,detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.txt,1.333333333,,1.007606691,,-7.964676835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,5.133333333,,2.377976255,,-7.482393819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.txt,1.2,,1.151494387,,-8.39000825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.txt,3.6,,2.399868049,,-7.422531908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.txt,3,,2.302465607,,-7.186806586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.txt,1.6,,2.08542367,,-8.028979041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.txt,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
