[0.txt],view,,polarity,,detail,
1.txt,9.5,5,0.291055986,5,0.848498218,1
3.txt,10.2,3,0.20974811,8,0.45315442,4
4.txt,2.5,16,0.192792556,10,0.241681369,6
6.txt,2.7,14,0.072890251,18,-0.641403512,17
7.txt,4.8,10,0.511098256,3,-0.073752361,10
9.txt,6.6,7,0.121305282,14,-0.121639532,11
10.txt,11.9,2,0.238544314,6,-0.351592379,15
11.txt,7.6,6,0.661678732,2,0.568793625,2
14.txt,1.2,17,0.114716678,15,-0.293505707,14
15.txt,4.8,10,0.368156276,4,0.038367669,9
16.txt,10.2,3,0.20974811,8,0.46044512,3
18.txt,5.4,9,0.17624441,13,0.049946188,8
19.txt,2.7,14,0.225747902,7,-0.574460447,16
22.txt,12,1,0.190377485,11,0.31543373,5
23.txt,6,8,0.184412073,12,-0.185600231,12
26.txt,1.2,17,0.090535371,16,-0.763043045,18
27.txt,3.3,12,0.075886612,17,0.066717126,7
29.txt,3.2,13,0.71810366,1,-0.252217421,13
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,8.5,,0.429030191,,-0.508285693,
3.txt,9,,0.345120028,,-1.676231287,
4.txt,1,,0.366749553,,-2.341304232,
6.txt,1.8,,0.245478989,,-2.574289837,
7.txt,3.9,,0.675887783,,-1.805261235,
9.txt,6.6,,0.122092378,,-1.972077733,
10.txt,11.2,,0.306818312,,-1.879903256,
11.txt,7.6,,0.5349129,,-0.982199886,
14.txt,0.3,,0.309769751,,-2.308840157,
15.txt,3,,0.532814439,,-1.978958247,
16.txt,9,,0.345120028,,-1.080710154,
18.txt,4.5,,0.38689112,,-1.914056371,
19.txt,2.4,,0.33772465,,-2.507346772,
22.txt,0,,0,,0,
23.txt,5,,0.323624562,,-2.073144345,
26.txt,0.6,,0.217984136,,-2.69592937,
27.txt,2.4,,0.223367071,,-1.866169199,
29.txt,2.4,,0.741271359,,-2.131231017,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
3.txt,6.6,,0.729002531,,-3.863874964,
4.txt,1,,0.469918187,,-4.528947909,
6.txt,1.8,,0.313991697,,-4.761933514,
7.txt,3.9,,0.745288372,,-3.992904912,
9.txt,6.3,,0.212118915,,-4.159721409,
10.txt,10.5,,0.430108756,,-3.764001743,
11.txt,7.2,,0.647174211,,-2.922499188,
14.txt,0.3,,0.394299574,,-4.43560158,
15.txt,3,,0.618062212,,-4.220474653,
16.txt,6.6,,0.729002531,,-2.885478561,
18.txt,4.5,,0.42206105,,-4.081980434,
19.txt,2.4,,0.432399226,,-4.694990449,
22.txt,0,,0,,0,
23.txt,5,,0.394870383,,-4.260788021,
26.txt,0.6,,0.270585715,,-4.883573047,
27.txt,2.4,,0.299990403,,-3.877892776,
29.txt,2.4,,0.775406239,,-4.318874694,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
3.txt,6.6,,0.966814009,,-4.050864122,
4.txt,1,,0.634543589,,-4.715937067,
6.txt,1.8,,0.461779908,,-4.948922673,
7.txt,3.6,,1.081505833,,-4.179894071,
9.txt,6.3,,0.284787089,,-4.346710568,
10.txt,9.8,,0.690736274,,-3.950990901,
11.txt,7.2,,0.782380118,,-3.109488346,
14.txt,0.3,,0.582501984,,-4.622590739,
15.txt,2.4,,0.879019947,,-4.407463811,
16.txt,6.6,,0.966814009,,-3.072467719,
18.txt,4.5,,0.537334634,,-4.268969592,
19.txt,2.4,,0.63461067,,-4.881979607,
22.txt,0,,0,,0,
23.txt,4.5,,0.664003224,,-4.44777718,
26.txt,0.3,,0.485929957,,-5.070562205,
27.txt,2.4,,0.429287577,,-4.064881935,
29.txt,0,,0,,0,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
3.txt,6.6,,0.921655001,,-4.327991082,
4.txt,0.5,,0.748379478,,-4.993064027,
6.txt,1.5,,0.565403713,,-5.226049633,
7.txt,3.3,,1.185495612,,-4.45702103,
9.txt,5.4,,0.58853102,,-4.623837528,
10.txt,0,,0,,0,
11.txt,6.8,,0.890437758,,-3.591110802,
14.txt,0.3,,0.583232715,,-4.899717699,
15.txt,2.4,,0.892112567,,-4.684590771,
16.txt,6.6,,0.921655001,,-3.809631961,
18.txt,4.5,,0.53059004,,-4.546096552,
19.txt,2.4,,0.642169448,,-5.159106567,
22.txt,0,,0,,0,
23.txt,4.5,,0.667103975,,-4.72490414,
26.txt,0.3,,0.48645561,,-5.347689165,
27.txt,2.1,,0.531677532,,-4.464056266,
29.txt,0,,0,,0,
,,,,,,
[0.txt],view,,polarity,,detail,
1.txt,0,,0,,0,
3.txt,6.6,,1.04261733,,-4.996738414,
4.txt,0.5,,0.870235313,,-5.72634988,
6.txt,1.5,,0.656176076,,-5.949493431,
7.txt,0,,0,,0,
9.txt,5.4,,0.666720566,,-5.347281326,
10.txt,0,,0,,0,
11.txt,6.8,,0.962625449,,-4.314554601,
14.txt,0.3,,0.675726422,,-5.668338462,
15.txt,2.4,,1.013344763,,-5.40803457,
16.txt,6.6,,1.04261733,,-4.53307576,
18.txt,4.5,,0.593530438,,-5.269540351,
19.txt,2.4,,0.736011616,,-5.796245744,
22.txt,0,,0,,0,
23.txt,4.5,,0.768188553,,-5.448347938,
26.txt,0.3,,0.563485124,,-6.071132964,
27.txt,2.1,,0.62428915,,-5.187500064,
29.txt,0,,0,,0,
