his,all,n_t,you,has,any,back,slider,did,the,pitches,season,this,strain,justin,recovery,which,tweaked,them,curveball,
the,third,catcher,tyler,collins,bryan,holaday,hernan,perez,throwing,was,strike,plate,whiffed,called,strikes,both,umpire,serving,jeff,
the,game,simulated,tigers,verlander,innings,justin,detroit,good,oakland,coliseum,tuesday,was,o.co,athletics,how,arm,first,shutout,nine,
the,pretty,been,really,was,way,good,triceps,twitter,wisdom,out,coming,could,little,bit,throw,things,bullpens,kind,changed,
rehab,being,would,start,where,activated,around,need,should,one,setback,that,his,pitches,mound,national,took,simulating,habit,far,
