1,seen FILE STEPHEN ET PM IRS building is Washington OHLEMACHER Associated Press photo this April 13 Headquarters the file 2014 Internal Revenue Service 
1,used Thieves service an online seen this April 13 provided IRS the Caption View photo 2014 Headquarters Internal IRS is Washington gain to Full FILE The file Revenue Service building access information taxpayers 100,000 than more agency the Associated Press 
3,Headquarters the Internal Revenue Service 
4,stole Caption CDT says IRS info tax 100,000 Published AP Headquarters The IRS thieves May Tuesday May Tuesday Internal Revenue Service shown building 26 2015 p.m. 10:02 CDT • Updated 26 2015 p.m. 10:03 is April 2014 Washington 
