take,long,hold,awakening,arab,sunnis,inclusive,leaders,wahhabis,independent,gulf,own,bolstering,population,representative,focused,democracy,run,outpost,middle,
shrine,fighting,islamic,armed,alliances,left,service,problem,than,another,credence,black,fallen,oil,encircling,prospect,mutasim,small,caliphate,seeking,
shia,militant,effective,was,regional,government,given,close,friday,more,who,not,what,extremist,affiliates,shias,robert,taliban,religious,fundamentalist,
the,iraq,that,has,government,sunni,militants,u.s,was,which,their,baghdad,been,isil,iraqi,have,more,who,fighters,shiite,
could,saudi,that,isis,fall,strategic,all,war,sides,ruling,islamic,most,the,others,oligarchs,fisk,rebels,bashar,organized,guard,
