rights,human,showing,three,because,captured,soldiers,ethnicity,apparently,targeted,police,officers,shootings,beheadings,christians,minorities,shiites,their,religion,cruel,
the,been,killed,other,fighting,least,saudi,arabia,kerry,jeddah,opposition,which,north,united,who,iraq,have,that,moderate,jarba,
the,iraq,islamic,state,levant,that,sunni,was,militants,week,major,both,led,not,has,maliki,last,national,militant,force,
the,isil,that,their,iraqi,executions,army,assault,fighters,city,tikrit,friday,between,men,killed,northern,rights,mass,led,sunni,
iraq,syria,has,territory,much,want,cities,tikrit,baiji,government,which,groups,them,straddling,medieval-style,capital,caliphate,baghdad,within,recreate,
