andersen,goaltender,every,has,frederik,good,regular,season,highs,set,crawford,statistically,not,takes,confidence,last,have,personal,counterpart,angeles,
series,career,account,united,victory,alone,record,can,now,playoffs,regulation,captain,p.m,
ryan,his,the,together,film,fly,line,posted,tonight,ducks!!!@anaheimducks#gordonbombay,get,estevez,emiliotheway,handle,two,that,associated,press,may,p.m,
the,hedger,extra,session,just,seventh,goal,win,two,final,dramatic,jonathan,beleskey,minutes,pair,stats,games,his,goals,blackhawks,
the,ducks,chicago,game,conference,western,finals,blackhawks,overtime,play,matt,seconds,joel,lead,monday,take,beat,brian,correspondent,espn,
