they,mighty,speed,long,lot,their,those,duck,estevez,has,coach,have,find,together,films,twitter,showed,our,gaps,away,
the,are,facebook,out,blackhawks,conversation,toews,force,champion,best-of-three,determine,affair,comes,dscott,sports,today,lai_usa,both,feeling,jerry,
who,his,period,had,the,game,goal,ducks,all,scoring,tuesday,cam,toews,played,said,center,every,playoffs,before,departed,
the,ducks,blackhawks,game,finals,chicago,conference,western,overtime,anaheim,seconds,matt,hscott,one,powers,loss,monday,play,that,cup,
the,ducks,andersen,two,last,games,corey,has,goaltender,frederik,goals,chicago,get,they,let,minutes,him,five,confidence,were,
