conference,western,take,game,seventh,anaheim,win,two,net,already,favor,kesler,beat,the,bounced,
was,cray,honda,center,city,windy,windbags,chicagoans,flying,then,dismissed,that,urging,character,switched,loss,their,games,session,goal,
the,overtime,blackhawks,seconds,monday,play,beleskey,chicago,night,lead,ducks,finals,anaheim,beat,time,estevez,first,nhl,history,teams,
western,take,game,beleskey,chicago,sixth,corey,crawford,pad,fat,period,fired,ryan,rebound,tilted,ice,until,series,ducks,
playoff,only,extra,just,playoffs,goal,final,dramatic,goals,jonathan,got,minutes,
