coach,joel,timonen,possible,ducks,options,win,all,quenneville,also,helpful,our,has,there,players,n_t,kimmo,play,everybody,give,
the,wednesday,his,joel,pull,needed,past,experience,photo_matt,replaced,players,slocum,timonen,team,help,lineup,all,will,blackhawks,
game,his,changes,ball,been,emotions,could,see,point,move,more,likely,make,when,asked,van,feels,conference,western,the,
when,the,game,times,recent,years,line,together,only,putting,could,breaking,play,tomorrow,looks,asked,tuesday,force,better,chance,
the,might,lineup,few,eight,desperate,morning,skate,van,riemsdyk,how,options,blackhawks,consider,
