force,whose,powers,his,stanley,its,problem,both,multi-overtime,already,high-level,series,another,together,third,these,great,was,joel,coach,
had,two,that,corey,patrick,elimination,all,game,the,mobile,productive,defense,ryan,getzlaf,matched,emerging,star,winger,single-handedly,almost,
that,goals,minutes,cray,back,goal,was,think,like,some,bruce,boudreau,acknowledged,matters,happened,after,fun,played,there,city,
has,andersen,goaltender,goalie,frederik,confidence,times,los,have,gauthier,every,playoffs,goals-against,sunk,save,good,regular,career,highs,crawford,
the,ducks,game,overtime,blackhawks,games,anaheim,western,finals,chicago,conference,seconds,last,wednesday,playoff,monday,loss,matt,beleskey,night,
