options,that,lineup,all,positive,
the,game,blackhawks,joel,coach,could,wednesday,his,win,might,all,eight,times,ball,emotions,pull,also,needed,past,experience,
asked,our,recent,years,together,putting,see,n_t,everybody,when,force,better,give,every,riemsdyk,how,options,his,team,
timonen,anaheim,the,ducks,line,breaking,move,photo_matt,make,replaced,kimmo,play,possible,possibility,game,team,that,lineup,any,changes,
when,van,toews,kane,lineup,joel,quenneville,few,been,desperate,only,has,point,there,more,likely,players,slocum,possible,tomorrow,
