that,there,have,chicago,was,games,elimination,the,recent,years,much,hockey,having,played,certain,advantages,are,remain,cray,heading,
games,all,that,playoffs,two,jonathan,kane,corey,last,who,departed,defensemen,another,finish,third,put,patrick,period,game,more,
the,ducks,game,blackhawks,overtime,anaheim,western,finals,conference,seconds,wednesday,play,monday,loss,chicago,matt,beleskey,goals,their,win,
has,ducks,andersen,goaltender,chicago,corey,last,confidence,times,have,gauthier,could,every,sunk,whose,risen,save,still,regular,career,
conversation,ryan,may,faqs,guidelines,associated,read,press,photo,force,facebook,commenting,out,find,nation,problems,causing,kesler,drawing,stars,
