san,monday,former,ray,clara,santa,violence,child,endangerment,main,county,francisco,being,arrested,may,afternoon,jail,jose,domestic,suspicion,
the,years,who,reportedly,allegation,completely,since,sex,recanted,offender,past,rape,falsely,prison,accused,linebacker,instead,spent,play,southern,
the,roundup,you,out,every,dreaded,alleged,tuesday,victim,mother,related,obtained,herself,identifying,incident,woman,released,patrol,time,led,
the,mcdonald,ray,arrest,that,highway,call,audio,defensive,patrol,suspicion,end,led,domestic,child,endangerment,nfl,has,assault,officials,
was,couple,baby,who,holding,woman,jose,home,later,san,suspicion,involving,incident,assaulting,domestic,the,
