was,out,couple,baby,who,holding,woman,assaulting,jose,home,later,san,suspicion,the,every,daughter,infant,but,freaking,time,
the,years,who,allegation,completely,since,sex,registered,recanted,offender,past,rape,falsely,prison,accused,linebacker,instead,spent,play,southern,
the,alleged,tuesday,victim,mother,related,obtained,herself,identifying,incident,she,woman,patrol,highway,call,
the,mcdonald,ray,highway,arrest,that,led,call,audio,defensive,patrol,suspicion,end,domestic,child,endangerment,nfl,has,assault,officials,
monday,san,clara,santa,former,domestic,child,endangerment,ray,main,county,francisco,being,arrested,may,afternoon,jail,jose,violence,suspicion,
