san,monday,ray,former,endangerment,domestic,violence,calif,francisco,was,santa,oct,while,child,suspicion,jose,main,county,being,arrested,
encounter,leased,misdemeanor,child,domestic,violence,suspicion,his,arrest,
her,called,mcdonald,charges,defense,mill,say,daughter,lick,luxury,that,apartment,online,subscription-based,banos,dispatchers,acting,archive,woman,available,
misdemeanor,woman,ex-fiancée,bedroom,mcdonald,alleging,stories,reveal,
the,santa,police,monday,was,clara,sep,baby,pound,foot,when,tried,infant,lineman,door,emergency,mcdonald,recordings,defensive,bail,
