mental,not,was,the,when,suffering,pistorius,court,done,wrongfulness,understand,able,concluded,health,experts,reports,illness,had,who,what,
the,gerrie,prosecutor,pistorius,that,shot,report,heard,screams,was,have,act,whether,psychiatrists,nel,three,trial,murder,psychologist,who,
the,his,steenkamp,was,that,anxiety,disorder,has,have,pistorius,shot,defence,actions,when,nel,because,more,any,not,had,
the,pistorius,that,also,van,was,his,zyl,model,take,loving,relationship,had,steenkamp,who,plans,crime,account,peet,other,
the,his,steenkamp,girlfriend,reeva,home,that,day,intruder,pretoria,has,valentine,was,toilet,door,her,last,year,killed,when,
