murder,prison,also,could,guilty,life,years,convicted,premeditated,negligent,killing,premeditation,found,face,take,charge,the,who,guns,love,
the,was,that,which,his,anxiety,disorder,were,there,him,had,prosecutor,van,psychiatrist,forensic,gerrie,when,defense,merryll,vorster,
the,pistorius,his,was,when,runner,who,stumps,legs,versfeld,judge,lower,amputated,gerald,surgeon,london,that,assessors,old,months,
the,that,pistorius,steenkamp,have,zyl,prosecution,van,heard,who,night,may,testimony,his,screams,they,what,athlete,case,neighbours,
the,his,pistorius,steenkamp,was,mental,that,oscar,has,not,reeva,killed,trial,court,shot,when,girlfriend,pretoria,psychiatric,report,
