the,that,minister,egyptian,tony,prime,government,monday,greste,journalist,australian,weekend,el-sissi,president,innocent,told,was,make,clemency,julie,
abbott,n-t,any,good,megaphone,diplomacy,engage,greste,that,saying,unhelpful,al-jazeera,two,want,colleagues,home,bring,can,all,bewildered,
presidential,system,canberra,reporters,has,the,abbott,justice,andits,legitimacy,respected,such,being,critical,business,its,work,why,pardons,acts,
muslim,brotherhood,have,would,the,been,make,not,peter,supporting,point,did,simply,reporters,australian,greste,journalist,that,promoting,interest,
government,the,has,egypt,senior,australia,far,verdict,abbott,row,escalation,dismay,express,representative,hauled,june,levelling,sanctions,possibility,raise,
