row,there,early,clemency,fattah,abdel,journalist,release,grant,al-sisi,hope,offers,this,stage,believe,however,egyptian,the,president,
presidential,representations,such,critical,business,work,why,acts,options,once,
n-t,any,good,diplomacy,engage,system,not,the,abbott,saying,unhelpful,al-jazeera,two,want,colleagues,decisions,justice,respected,really,shocked,
the,government,minister,prime,tony,abbott,greste,egyptian,verdict,has,egypt,monday,make,el-sissi,that,court,bewildered,senior,australia,far,
the,that,muslim,brotherhood,would,have,been,greste,journalist,peter,australian,not,supporting,point,did,simply,reporters,make,promoting,interest,
